TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
OIBR3;0,80;;-0,98;4,97;0,07;26,16;-101,51;-268,61;-2,60;-16,48;-13,83;26,49;2,64;0,23;-0,18;1,97;-506,67;-7,12;-17,09;0,01;0,99;0,03;-19,43;;53.761.351,98;0,16;-0,81;0,02;5.372.334.494,57
OIBR4;1,37;;-1,68;8,52;0,12;26,16;-101,51;-268,61;-4,45;-16,48;-13,83;26,49;4,52;0,40;-0,31;1,97;-506,67;-7,12;-17,09;0,01;0,99;0,03;-19,43;;1.297.767,13;0,16;-0,81;0,03;5.372.334.494,57
OMGE3;27,57;;18,04;1,32;0,52;34,06;67,54;17,30;4,62;8,67;4,06;1,16;3,12;8,00;-0,60;1,87;7,31;2,88;10,02;0,39;0,61;0,17;55,45;99,31;49.236.324,19;20,91;1,53;0,03;5.521.562.588,85
ONCO3;7,08;;-74,78;1,52;0,58;32,15;6,56;-1,74;19,79;22,14;2,35;0,18;1,30;2,09;-1,11;2,41;-2,03;-0,78;1,95;0,38;0,62;0,45;;;10.450.654,58;4,65;-0,09;1,06;3.507.132.678,84
OPCT3;2,65;;-11,18;0,59;0,21;17,79;3,53;-5,37;17,03;40,16;23,13;0,80;0,60;1,18;-0,32;2,20;-5,28;-1,91;1,04;0,36;0,64;0,36;;;5.272.297,35;4,49;-0,24;-0,10;529.892.818,10
ORVR3;36,11;;-41,62;6,99;2,14;41,08;18,30;-14,24;32,40;39,35;6,94;1,50;5,93;6,24;-4,28;3,19;-16,79;-5,14;4,72;0,31;0,69;0,36;;;16.005.203,18;5,17;-0,87;0,09;2.581.863.916,70
OSXB3;6,58;;0,17;0,00;0,01;90,15;3.158,36;464,14;0,02;5,72;5,70;;0,78;-0,03;-0,01;0,02;-2,30;5,49;-90,90;-2,39;3,39;0,01;89,07;;94.745,65;-1.695,32;38,93;0,00;20.714.090,04
PARD3;18,05;1,82;11,07;2,71;1,02;31,01;18,08;10,75;6,58;6,76;0,18;0,07;1,19;69,78;-1,53;1,05;24,46;9,24;23,04;0,38;0,62;0,86;17,16;15,74;3.702.189,63;6,67;1,63;0,16;2.364.163.639,75
PATI3;77,50;3,76;6,32;2,17;0,93;17,97;15,58;10,99;4,46;4,77;0,36;0,17;0,70;1,55;-6,89;3,26;34,34;14,73;16,67;0,43;0,57;1,34;31,30;81,76;34.560,00;35,70;12,26;0,10;1.834.027.314,58
PATI4;57,28;5,08;4,67;1,60;0,69;17,97;15,58;10,99;3,30;4,77;0,36;0,17;0,51;1,15;-5,09;3,26;34,34;14,73;16,67;0,43;0,57;1,34;31,30;81,76;20.994,20;35,70;12,26;0,08;1.834.027.314,58
PCAR3;20,99;12,06;7,05;0,35;0,11;25,25;3,29;1,56;3,35;3,81;0,46;0,05;0,11;4,28;-0,18;1,08;4,90;1,62;4,31;0,33;0,67;1,04;4,35;;57.741.776,63;60,80;2,98;-0,11;5.654.609.802,83
PCAR4;72,11;;24,22;1,19;0,39;25,25;3,29;1,56;11,49;3,81;0,46;0,05;0,38;14,69;-0,62;1,08;4,90;1,62;4,31;0,33;0,67;1,04;4,35;;;60,80;2,98;-0,38;5.654.609.802,83
